0,654.544
1,1124.841
2,1717.581
3,1913.126
4,1930.508
5,1954.321
6,1971.664
7,1989.664
8,1999.930
9,2012.737
10,2024.193
11,2036.644
12,2045.535
13,2063.245
14,2072.550
15,2090.477
16,2109.339
17,2114.353
18,2124.843
19,2135.748
20,2147.657
21,2160.433
22,2172.455
23,2177.912
24,2181.891
25,2186.558
26,2193.286
27,2198.414
28,2203.635
29,2207.372
30,2215.113
31,2224.066
32,2230.003
33,2234.492
34,2239.258
35,2245.286
36,2254.666
37,2261.136
38,2265.448
39,2270.216
40,2276.092
41,2281.275
42,2284.445
43,2288.631
44,2294.333
45,2298.392
46,2304.204
47,2308.421
48,2314.959
49,2319.915
50,2325.606
51,2330.033
52,2333.791
53,2337.882
54,2341.333
55,2346.540
56,2352.171
57,2360.580
58,2367.225
59,2374.362
60,2381.515
61,2391.111
62,2399.153
63,2409.250
64,2416.825
65,2423.148
66,2432.233
67,2439.632
68,2443.793
69,2449.131
70,2456.502
71,2471.048
72,2483.826
73,2503.724
74,2516.824
75,2530.459
76,2556.319
77,2575.000
78,2605.097
79,2627.564
80,2644.160
81,2666.793
82,2690.171
83,2714.272
84,2735.540
85,2759.741
86,2802.106
87,2837.462
88,2916.381
89,3021.101
90,3118.946
91,3171.086
92,3219.429
93,3293.952
94,3381.618
95,3667.681
96,3779.262
97,3973.451
98,5332.315
99,8380.664
