0,12.235
1,26.507
2,31.417
3,35.895
4,39.249
5,45.040
6,48.031
7,53.024
8,58.536
9,61.172
10,65.697
11,67.961
12,69.742
13,72.002
14,75.427
15,78.739
16,80.725
17,82.772
18,84.913
19,86.214
20,88.873
21,91.222
22,93.908
23,95.991
24,97.791
25,101.399
26,103.799
27,107.356
28,108.448
29,111.186
30,113.211
31,116.450
32,118.678
33,122.463
34,125.079
35,126.407
36,128.356
37,130.306
38,132.060
39,133.154
40,134.348
41,135.409
42,136.634
43,137.194
44,137.521
45,139.035
46,141.120
47,142.397
48,143.035
49,143.719
50,144.920
51,147.317
52,150.793
53,153.770
54,154.639
55,156.571
56,157.268
57,158.131
58,159.219
59,160.187
60,160.593
61,161.556
62,162.337
63,162.984
64,163.319
65,163.584
66,164.809
67,168.055
68,169.013
69,169.837
70,170.777
71,171.347
72,172.581
73,176.369
74,178.020
75,181.970
76,183.005
77,185.188
78,188.663
79,192.285
80,193.182
81,193.908
82,197.872
83,198.548
84,199.769
85,205.427
86,213.006
87,223.484
88,232.648
89,236.785
90,250.753
91,253.982
92,254.375
93,255.863
94,257.739
95,258.645
96,265.939
97,301.250
98,308.144
99,319.917
